zip_code,zone,Latitude,Longitude,month,p50,temp_mean,dtr,ref_humid,sunshine,wind_run,eto
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Jan,49.55,14,11,64,70,2.9,2.27
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Feb,41.08,14.8,10.6,67,71,3.3,2.74
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Mar,37.38,15.2,9.7,69,71,3.7,3.29
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Apr,13.68,16.7,9.9,67,77,3.9,4.22
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,May,0.8,18.1,8.7,70,65,3.8,4.35
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Jun,0.07,20.1,8.8,71,65,3.7,4.71
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Jul,0.01,22.4,9.8,71,81,3.6,5.35
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Aug,0.06,23.1,9.6,72,82,3.5,5.05
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Sep,1.41,22.4,9.7,70,75,3.3,4.3
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Oct,2.79,20.3,10.4,69,72,3.1,3.33
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Nov,28.31,16.8,10.9,66,69,3,2.55
90001,Firestone Park Los Angeles County,33.963094,-118.2325982,Dec,29.81,14.1,11.1,65,70,2.8,2.09
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Jan,49.55,14,11,64,70,2.9,2.27
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Feb,41.08,14.8,10.6,67,71,3.3,2.74
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Mar,37.38,15.2,9.7,69,71,3.7,3.29
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Apr,13.68,16.7,9.9,67,77,3.9,4.22
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,May,0.8,18.1,8.7,70,65,3.8,4.35
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Jun,0.07,20.1,8.8,71,65,3.7,4.71
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Jul,0.01,22.4,9.8,71,81,3.6,5.35
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Aug,0.06,23.1,9.6,72,82,3.5,5.05
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Sep,1.41,22.4,9.7,70,75,3.3,4.3
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Oct,2.79,20.3,10.4,69,72,3.1,3.33
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Nov,28.31,16.8,10.9,66,69,3,2.55
90001,Los Angeles Los Angeles County,33.9697897,-118.2468148,Dec,29.81,14.1,11.1,65,70,2.8,2.09
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Jan,49.55,14,11,64,70,2.9,2.27
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Feb,41.08,14.8,10.6,67,71,3.3,2.74
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Mar,37.38,15.2,9.7,69,71,3.7,3.29
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Apr,13.68,16.7,9.9,67,77,3.9,4.22
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,May,0.8,18.1,8.7,70,65,3.8,4.35
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Jun,0.07,20.1,8.8,71,65,3.7,4.71
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Jul,0.01,22.4,9.8,71,81,3.6,5.35
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Aug,0.06,23.1,9.6,72,82,3.5,5.05
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Sep,1.41,22.4,9.7,70,75,3.3,4.3
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Oct,2.79,20.3,10.4,69,72,3.1,3.33
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Nov,28.31,16.8,10.9,66,69,3,2.55
90002,August F. Haw Los Angeles County,33.9511133,-118.2497386,Dec,29.81,14.1,11.1,65,70,2.8,2.09
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Jan,49.55,14,11,64,70,2.9,2.27
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Feb,41.08,14.8,10.6,67,71,3.3,2.74
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Mar,37.38,15.2,9.7,69,71,3.7,3.29
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Apr,13.68,16.7,9.9,67,77,3.9,4.22
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,May,0.8,18.1,8.7,70,65,3.8,4.35
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Jun,0.07,20.1,8.8,71,65,3.7,4.71
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Jul,0.01,22.4,9.8,71,81,3.6,5.35
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Aug,0.06,23.1,9.6,72,82,3.5,5.05
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Sep,1.41,22.4,9.7,70,75,3.3,4.3
90002,Los Angeles Los Angeles County,33.9511133,-118.2497386,Oct,2.79,20.3,10.4,69,72,3.1,3.33
