zip,water_bodies,Latitude,Longitude ,month,pan_evo
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Jan,1.17
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Feb,1.99
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Mar,4.25
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Apr,6.27
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,May,8.96
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Jun,10.84
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Jul,11.6
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Aug,10.06
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Sep,7.77
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Oct,4.91
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Nov,2.07
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Dec,1.22
94561,"Antioch Pump Plant  3, California",38.0049214,-121.805789,Year,71.11
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Jan,1.42
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Feb,1.89
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Mar,3.13
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Apr,4.89
95603,"Auburn Dam Project, California",38.904359,-121.0557231,May,7.73
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Jun,10.08
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Jul,11.66
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Aug,10.7
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Sep,8.08
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Oct,5
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Nov,1.97
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Dec,1.36
95603,"Auburn Dam Project, California",38.904359,-121.0557231,Year,67.91
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Jan,1.8
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Feb,2.9
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Mar,6.2
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Apr,9.39
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,May,12.96
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Jun,16.73
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Jul,18.67
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Aug,16.37
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Sep,12.61
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Oct,8.05
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Nov,3.89
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Dec,2.44
93210,"Avenal 9 Sse, California",36.0041223,-120.1290272,Year,112.01
93505,"Backus Ranch, California",34.9515079,-118.1764478,Jan,2.85
93505,"Backus Ranch, California",34.9515079,-118.1764478,Feb,3.86
93505,"Backus Ranch, California",34.9515079,-118.1764478,Mar,6.77
93505,"Backus Ranch, California",34.9515079,-118.1764478,Apr,9.8
93505,"Backus Ranch, California",34.9515079,-118.1764478,May,12.69
93505,"Backus Ranch, California",34.9515079,-118.1764478,Jun,15.93
93505,"Backus Ranch, California",34.9515079,-118.1764478,Jul,16.92
93505,"Backus Ranch, California",34.9515079,-118.1764478,Aug,15.95
93505,"Backus Ranch, California",34.9515079,-118.1764478,Sep,12.19
93505,"Backus Ranch, California",34.9515079,-118.1764478,Oct,8.01
93505,"Backus Ranch, California",34.9515079,-118.1764478,Nov,4.25
93505,"Backus Ranch, California",34.9515079,-118.1764478,Dec,2.98
93505,"Backus Ranch, California",34.9515079,-118.1764478,Year,112.2
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Jan,2.9
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Feb,3.29
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Mar,4.08
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Apr,5.03
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,May,6.4
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Jun,8.15
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Jul,10.64
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Aug,9.97
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Sep,7.9
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Oct,5.87
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Nov,3.22
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Dec,2.9
92223,"Beaumont Pumping Plant, California",36.9239098,-120.8283304,Year,70.35
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Jan,3.1
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Feb,3.73
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Mar,4.99
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Apr,5.23
92223,"Beaumont 1 E, California",33.9294606,-116.977248,May,7.6
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Jun,9.31
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Jul,10.97
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Aug,10.66
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Sep,8.85
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Oct,6.53
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Nov,5.16
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Dec,3.95
92223,"Beaumont 1 E, California",33.9294606,-116.977248,Year,80.08
94558,"Berryessa Lake, California",38.6097407,-122.254045,Jan,1.53
94558,"Berryessa Lake, California",38.6097407,-122.254045,Feb,2.15
94558,"Berryessa Lake, California",38.6097407,-122.254045,Mar,3.79
94558,"Berryessa Lake, California",38.6097407,-122.254045,Apr,5.82
94558,"Berryessa Lake, California",38.6097407,-122.254045,May,8.9
94558,"Berryessa Lake, California",38.6097407,-122.254045,Jun,11
94558,"Berryessa Lake, California",38.6097407,-122.254045,Jul,13.22
94558,"Berryessa Lake, California",38.6097407,-122.254045,Aug,12.06
94558,"Berryessa Lake, California",38.6097407,-122.254045,Sep,8.67
94558,"Berryessa Lake, California",38.6097407,-122.254045,Oct,5.72
94558,"Berryessa Lake, California",38.6097407,-122.254045,Nov,2.48
94558,"Berryessa Lake, California",38.6097407,-122.254045,Dec,1.66
94558,"Berryessa Lake, California",38.6097407,-122.254045,Year,77
96161,"Boca, California",39.387272,-120.089966,Jan,0
96161,"Boca, California",39.387272,-120.089966,Feb,0
96161,"Boca, California",39.387272,-120.089966,Mar,0
96161,"Boca, California",39.387272,-120.089966,Apr,0
96161,"Boca, California",39.387272,-120.089966,May,6.83
96161,"Boca, California",39.387272,-120.089966,Jun,8.52
96161,"Boca, California",39.387272,-120.089966,Jul,10.01
96161,"Boca, California",39.387272,-120.089966,Aug,9.09
96161,"Boca, California",39.387272,-120.089966,Sep,6.48
96161,"Boca, California",39.387272,-120.089966,Oct,4.32
96161,"Boca, California",39.387272,-120.089966,Nov,0
96161,"Boca, California",39.387272,-120.089966,Dec,0
96161,"Boca, California",39.387272,-120.089966,Year,45.25
94571,"Brannan Island, California",38.146584,-121.6480098,Jan,1.15
